Sexo;Edad;Nacionalidad;Viaja_solo;Viaja_pareja;Viaja_hijo;Viaja_amigos;Viaja_otros;Noches;Tipo_alojamiento;Coste_vuelos;Coste_alojamiento;Gastos;Horas_fuera_alojamiento;Visitas_totales_Islas;Visitas_total_GC;Calificacion;Repetiria;Nivel_educativo;Situacion_laboral;Ingresos;Personas_hogar;Cuatrimestre;Año
1;50;Suiza;No;No;Si;No;No;7;3;1151;1.562;754;3;1;1;3;10;4;1;4;2;Q2;2022
6;57;Suiza;No;No;Si;No;No;7;2;1754;2.382;527;1;10;9;4;10;3;7;4;4;Q2;2022
1;40;Otros;No;Si;No;No;No;7;2;532;1.300;1000;6;2;1;5;10;4;1;4;2;Q2;2022
6;36;Otros;No;No;Si;No;No;7;2;770;1.269;1161;8;7;7;5;10;3;3;3;4;Q3;2022
6;35;Otros;No;Si;No;No;No;7;4;106;213;333;2;1;0;5;10;4;1;1;2;Q2;2022
6;47;Otros;No;Si;No;No;No;15;3;1.827;3.011;727;12;5;5;3;5;4;1;2;3;Q3;2022
6;43;Irlanda;No;Si;No;No;No;6;4;1.000;560;600;12;2;1;5;9;4;1;4;4;Q1;2022
1;50;Irlanda;Si;No;No;No;No;7;2;200;200;800;6;3;1;5;10;4;2;2;1;Q1;2022
6;59;Alemania;Si;No;No;No;No;3;2;397;1.292;511;12;2;1;4;10;4;1;3;1;Q2;2022
1;57;Otros;No;Si;No;No;No;13;4;1.028;2.098;2000;5;1;0;3;8;3;1;4;2;Q1;2022
1;53;Otros;No;No;Si;No;No;14;6;3.500;1.200;2200;5;3;3;3;9;4;1;2;4;Q1;2022
1;59;Francia;No;Si;No;No;No;7;2;618;982;165;6;10;1;3;10;3;1;3;2;Q3;2022
6;45;España;No;No;Si;No;No;7;2;1.735;3.266;2150;7;16;1;4;10;4;1;3;4;Q1;2022
1;43;Otros;Si;No;No;No;No;7;5;200;200;500;12;2;1;3;10;4;1;2;2;Q2;2022
1;26;España;No;No;No;Si;No;3;6;150;250;585;2;3;0;3;9;4;1;2;1;Q1;2022
6;18;Otros;No;No;No;No;Si;10;4;585;960;570;2;4;1;5;10;4;6;4;3;Q2;2022
1;37;España;No;No;No;No;Si;5;2;902;1698;670;2;4;1;3;10;3;1;1;2;Q1;2022
1;46;Francia;No;Si;No;No;No;7;2;514;816;770;6;2;2;3;10;4;5;1;2;Q3;2022
1;46;Suiza;No;No;Si;No;No;7;2;1995;2709;754;2;1;1;4;10;3;2;2;4;Q2;2022
1;32;Irlanda;Si;No;No;No;No;4;3;600;400;1100;14;4;1;3;9;4;1;3;4;Q3;2022
6;31;España;No;No;No;Si;No;14;4;1200;3300;500;10;10;10;3;10;4;1;1;3;Q1;2022
1;36;Suiza;No;No;Si;No;No;7;4;990;1344;2471;10;7;5;4;10;3;4;3;7;Q2;2022
6;61;Suiza;No;Si;No;No;No;14;4;1328;3984;689;14;6;5;4;10;3;7;3;2;Q2;2022
1;52;Francia;No;Si;No;No;No;8;4;300;1000;2000;15;5;4;3;10;4;4;4;2;Q1;2022
